match_id,inning,over,ball,batsman_runs,bowler_runs,is_wicket,total_runs
84,2,11,4,4.0,6.0,1,10.0
74,2,18,3,6.0,2.0,1,8.0
105,1,2,4,2.0,1.0,0,3.0
165,1,5,5,3.0,3.0,0,6.0
71,1,3,5,6.0,6.0,1,12.0
186,2,6,3,6.0,2.0,1,8.0
159,2,12,6,0.0,2.0,0,2.0
177,1,9,6,4.0,6.0,0,10.0
173,2,6,6,0.0,4.0,0,4.0
34,1,10,4,3.0,4.0,1,7.0
131,2,6,1,0.0,3.0,1,3.0
162,2,5,1,6.0,3.0,1,9.0
17,1,6,2,6.0,1.0,0,7.0
112,2,17,6,2.0,0.0,0,2.0
136,2,13,3,0.0,6.0,1,6.0
8,2,8,3,4.0,2.0,1,6.0
66,1,20,1,0.0,0.0,0,0.0
177,2,15,1,0.0,0.0,1,0.0
28,2,7,3,4.0,0.0,1,4.0
67,2,1,4,6.0,0.0,0,6.0
80,1,10,6,1.0,4.0,0,5.0
42,1,7,6,4.0,0.0,1,4.0
107,1,7,2,1.0,0.0,1,1.0
70,2,15,3,3.0,1.0,1,4.0
166,2,12,5,3.0,2.0,1,5.0
98,2,2,3,6.0,0.0,0,6.0
186,2,4,2,2.0,4.0,1,6.0
79,1,18,3,0.0,4.0,1,4.0
165,1,11,2,0.0,4.0,0,4.0
11,2,11,6,2.0,3.0,0,5.0
65,2,13,4,0.0,2.0,0,2.0
143,2,10,6,4.0,0.0,0,4.0
195,1,18,2,0.0,6.0,0,6.0
189,1,19,6,3.0,1.0,0,4.0
130,1,18,1,0.0,3.0,0,3.0
103,2,8,4,6.0,2.0,0,8.0
55,1,14,3,0.0,0.0,0,0.0
7,1,13,3,0.0,1.0,0,1.0
18,1,15,6,2.0,2.0,0,4.0
52,2,7,4,4.0,3.0,0,7.0
65,2,17,2,6.0,3.0,1,9.0
150,1,10,1,0.0,6.0,0,6.0
82,1,8,2,0.0,0.0,1,0.0
184,1,1,3,0.0,0.0,0,0.0
8,1,7,3,0.0,2.0,0,2.0
60,1,13,4,2.0,4.0,1,6.0
200,1,5,2,4.0,6.0,0,10.0
83,1,2,2,1.0,3.0,0,4.0
142,1,6,6,4.0,0.0,0,4.0
80,2,5,5,0.0,0.0,0,0.0
126,2,20,6,4.0,2.0,0,6.0
141,2,16,5,1.0,6.0,0,7.0
188,1,20,6,2.0,0.0,0,2.0
69,2,19,1,2.0,3.0,1,5.0
86,2,20,6,6.0,2.0,0,8.0
150,2,9,5,0.0,0.0,1,0.0
41,2,19,6,4.0,0.0,0,4.0
19,1,8,1,4.0,1.0,0,5.0
160,2,3,4,0.0,0.0,1,0.0
185,1,12,6,0.0,4.0,0,4.0
197,2,5,2,0.0,4.0,1,4.0
68,1,16,3,0.0,1.0,0,1.0
125,2,7,1,0.0,2.0,0,2.0
164,1,9,1,0.0,4.0,0,4.0
149,2,2,5,2.0,2.0,0,4.0
151,2,14,4,0.0,3.0,0,3.0
155,1,3,1,1.0,2.0,1,3.0
55,1,4,6,0.0,1.0,1,1.0
112,2,6,3,0.0,1.0,1,1.0
176,2,18,3,0.0,6.0,0,6.0
34,2,16,2,1.0,2.0,1,3.0
150,2,16,5,1.0,1.0,1,2.0
185,2,3,3,1.0,0.0,1,1.0
91,2,12,5,1.0,4.0,0,5.0
80,2,12,1,0.0,6.0,0,6.0
18,2,16,1,2.0,1.0,0,3.0
108,2,18,5,1.0,6.0,0,7.0
173,2,12,4,1.0,1.0,0,2.0
166,2,13,6,4.0,0.0,0,4.0
85,2,14,3,0.0,0.0,0,0.0
191,2,15,3,6.0,1.0,1,7.0
32,1,8,2,1.0,1.0,1,2.0
48,2,11,4,4.0,2.0,0,6.0
101,1,18,5,6.0,4.0,1,10.0
160,2,10,6,6.0,2.0,1,8.0
90,2,10,3,0.0,4.0,0,4.0
70,2,9,4,4.0,4.0,0,8.0
115,1,1,4,2.0,0.0,1,2.0
5,1,6,1,0.0,0.0,1,0.0
4,1,6,4,6.0,0.0,0,6.0
149,2,9,2,2.0,0.0,1,2.0
66,1,18,2,0.0,3.0,1,3.0
150,1,4,1,6.0,2.0,0,8.0
24,1,10,2,6.0,0.0,1,6.0
118,2,4,2,0.0,0.0,0,0.0
51,2,8,1,2.0,6.0,1,8.0
36,1,9,4,2.0,3.0,0,5.0
81,1,12,3,0.0,6.0,1,6.0
15,2,11,4,1.0,3.0,1,4.0
115,1,16,3,6.0,3.0,1,9.0
41,2,18,4,4.0,1.0,1,5.0
157,1,10,4,1.0,0.0,1,1.0
17,2,20,3,0.0,1.0,0,1.0
143,2,11,2,6.0,0.0,1,6.0
147,2,10,6,0.0,1.0,0,1.0
17,2,5,4,1.0,2.0,1,3.0
101,1,7,3,1.0,0.0,0,1.0
183,1,6,6,4.0,4.0,1,8.0
134,2,3,3,0.0,6.0,1,6.0
107,1,15,1,2.0,2.0,0,4.0
178,1,15,3,0.0,0.0,0,0.0
38,1,6,5,0.0,6.0,0,6.0
194,2,1,6,0.0,0.0,1,0.0
72,2,1,5,0.0,4.0,0,4.0
165,1,16,2,2.0,3.0,1,5.0
102,1,17,5,0.0,3.0,1,3.0
92,2,1,5,2.0,4.0,0,6.0
165,1,1,1,1.0,2.0,1,3.0
179,1,15,5,0.0,0.0,1,0.0
7,1,2,1,1.0,6.0,1,7.0
162,2,20,2,2.0,6.0,0,8.0
152,1,7,5,0.0,3.0,0,3.0
98,2,5,1,4.0,4.0,0,8.0
103,2,14,2,0.0,1.0,1,1.0
179,1,8,3,1.0,0.0,0,1.0
23,2,4,1,0.0,1.0,0,1.0
136,2,8,1,0.0,0.0,1,0.0
107,1,9,3,4.0,0.0,0,4.0
31,1,13,6,1.0,0.0,1,1.0
59,1,4,1,2.0,2.0,1,4.0
44,1,19,4,2.0,4.0,0,6.0
148,1,16,4,1.0,3.0,0,4.0
186,2,13,4,0.0,0.0,0,0.0
4,1,2,1,0.0,1.0,0,1.0
37,1,13,6,3.0,4.0,0,7.0
98,1,11,4,4.0,2.0,0,6.0
52,1,20,1,2.0,0.0,0,2.0
52,1,4,4,6.0,2.0,1,8.0
145,1,4,4,4.0,6.0,0,10.0
8,2,11,1,1.0,0.0,0,1.0
171,2,7,6,4.0,1.0,0,5.0
42,2,13,2,6.0,6.0,0,12.0
27,2,11,2,2.0,4.0,0,6.0
80,1,4,6,0.0,4.0,0,4.0
161,1,14,4,1.0,0.0,0,1.0
155,1,12,3,0.0,3.0,0,3.0
27,1,5,1,6.0,0.0,1,6.0
80,1,12,3,0.0,6.0,1,6.0
171,2,6,2,6.0,3.0,0,9.0
120,2,1,1,3.0,4.0,1,7.0
9,2,17,4,3.0,1.0,0,4.0
168,2,14,4,0.0,0.0,0,0.0
109,2,8,3,0.0,1.0,0,1.0
63,2,16,3,6.0,2.0,0,8.0
78,1,12,2,2.0,6.0,0,8.0
139,1,4,4,0.0,2.0,0,2.0
1,1,16,1,6.0,1.0,1,7.0
112,1,20,6,4.0,6.0,0,10.0
107,1,17,1,0.0,6.0,0,6.0
101,2,19,1,4.0,3.0,0,7.0
66,1,7,2,0.0,6.0,0,6.0
15,2,14,3,0.0,6.0,1,6.0
81,2,20,3,0.0,0.0,0,0.0
186,2,6,2,2.0,0.0,0,2.0
169,1,5,2,0.0,3.0,1,3.0
168,1,6,2,4.0,0.0,0,4.0
150,2,20,1,4.0,6.0,1,10.0
78,2,16,5,4.0,0.0,0,4.0
114,2,9,6,3.0,1.0,1,4.0
126,1,4,1,6.0,1.0,0,7.0
116,1,20,3,0.0,2.0,1,2.0
143,2,5,5,0.0,2.0,0,2.0
189,2,11,4,2.0,6.0,0,8.0
135,2,13,2,1.0,2.0,0,3.0
37,1,6,3,3.0,4.0,0,7.0
95,1,14,2,2.0,4.0,1,6.0
27,2,9,5,6.0,3.0,0,9.0
110,2,19,3,6.0,1.0,0,7.0
189,2,10,4,2.0,6.0,0,8.0
33,1,16,2,3.0,0.0,0,3.0
146,2,17,2,3.0,2.0,0,5.0
179,2,5,6,1.0,6.0,0,7.0
151,2,15,4,6.0,3.0,1,9.0
21,2,11,1,0.0,3.0,1,3.0
1,1,8,2,1.0,2.0,0,3.0
7,2,12,2,1.0,4.0,0,5.0
96,1,1,1,4.0,3.0,0,7.0
186,2,18,4,2.0,1.0,0,3.0
37,2,15,2,0.0,0.0,0,0.0
27,2,5,1,1.0,0.0,1,1.0
95,1,5,4,2.0,4.0,0,6.0
126,1,13,6,0.0,4.0,1,4.0
121,1,11,4,2.0,1.0,0,3.0
82,2,1,6,2.0,6.0,0,8.0
179,1,2,1,2.0,1.0,0,3.0
30,1,2,1,1.0,1.0,0,2.0
196,1,15,1,2.0,6.0,0,8.0
94,2,4,1,0.0,6.0,0,6.0
94,2,4,4,1.0,4.0,0,5.0
105,1,6,2,4.0,3.0,0,7.0
194,2,18,1,0.0,1.0,1,1.0
52,2,8,5,3.0,6.0,0,9.0
18,2,15,4,1.0,3.0,0,4.0
169,2,17,1,4.0,6.0,1,10.0
2,2,4,2,4.0,6.0,0,10.0
74,1,2,2,2.0,4.0,1,6.0
132,1,14,6,4.0,4.0,0,8.0
159,1,2,3,4.0,0.0,1,4.0
193,2,6,1,3.0,6.0,0,9.0
66,2,16,3,0.0,2.0,0,2.0
143,1,10,3,0.0,0.0,0,0.0
57,2,12,5,4.0,4.0,0,8.0
182,1,8,2,2.0,6.0,0,8.0
138,2,15,6,2.0,0.0,0,2.0
35,2,9,4,4.0,0.0,0,4.0
66,2,13,5,0.0,0.0,1,0.0
103,2,11,1,6.0,1.0,0,7.0
175,1,16,4,3.0,0.0,0,3.0
161,2,13,6,3.0,0.0,0,3.0
148,2,4,2,3.0,6.0,0,9.0
129,2,2,2,3.0,2.0,0,5.0
140,2,4,6,4.0,2.0,0,6.0
110,1,7,4,0.0,6.0,0,6.0
117,2,12,2,3.0,0.0,0,3.0
32,1,17,3,2.0,1.0,1,3.0
188,1,13,2,3.0,0.0,0,3.0
142,1,11,3,3.0,2.0,0,5.0
101,2,11,1,0.0,4.0,0,4.0
153,1,18,2,0.0,0.0,0,0.0
155,1,10,3,4.0,1.0,0,5.0
80,1,2,3,1.0,4.0,0,5.0
143,2,4,1,0.0,0.0,0,0.0
52,2,14,3,4.0,0.0,0,4.0
30,2,17,1,0.0,0.0,0,0.0
107,1,20,2,4.0,4.0,1,8.0
82,1,19,2,6.0,1.0,0,7.0
30,1,16,6,0.0,0.0,1,0.0
114,2,6,1,6.0,2.0,1,8.0
125,1,1,6,1.0,2.0,1,3.0
93,1,3,4,4.0,0.0,0,4.0
149,2,10,4,6.0,6.0,0,12.0
16,1,1,3,1.0,4.0,0,5.0
93,2,2,5,6.0,1.0,0,7.0
119,1,10,4,0.0,0.0,0,0.0
21,1,7,2,2.0,3.0,0,5.0
181,2,12,2,4.0,3.0,0,7.0
76,1,6,4,6.0,4.0,0,10.0
137,2,1,3,4.0,1.0,0,5.0
99,2,9,1,3.0,4.0,0,7.0
65,2,18,2,1.0,0.0,0,1.0
64,2,12,4,3.0,4.0,0,7.0
49,2,10,2,0.0,1.0,0,1.0
147,1,19,3,0.0,0.0,1,0.0
11,2,8,1,6.0,0.0,1,6.0
13,1,1,6,1.0,0.0,0,1.0
188,1,6,2,4.0,6.0,1,10.0
168,1,8,6,0.0,1.0,0,1.0
4,1,17,5,6.0,1.0,0,7.0
124,1,10,6,0.0,3.0,0,3.0
29,1,3,5,6.0,1.0,0,7.0
48,1,14,6,3.0,0.0,0,3.0
175,2,9,6,0.0,0.0,1,0.0
173,1,8,2,1.0,4.0,0,5.0
64,2,20,1,2.0,6.0,0,8.0
179,1,4,2,1.0,2.0,1,3.0
8,1,17,4,6.0,0.0,0,6.0
121,1,19,6,4.0,1.0,0,5.0
126,1,5,1,6.0,4.0,0,10.0
23,1,7,5,2.0,4.0,1,6.0
172,2,9,3,3.0,1.0,0,4.0
27,2,18,6,0.0,2.0,0,2.0
123,1,15,2,0.0,3.0,1,3.0
7,2,3,6,0.0,2.0,1,2.0
168,2,3,2,1.0,3.0,0,4.0
56,2,13,1,2.0,6.0,0,8.0
121,2,9,4,4.0,0.0,1,4.0
43,2,5,3,0.0,0.0,1,0.0
11,2,11,4,2.0,0.0,0,2.0
77,1,12,6,1.0,6.0,1,7.0
4,2,14,5,4.0,4.0,0,8.0
31,1,14,5,3.0,3.0,1,6.0
119,1,10,1,3.0,2.0,0,5.0
117,1,17,6,6.0,1.0,0,7.0
118,2,7,5,2.0,2.0,1,4.0
61,1,18,4,4.0,1.0,0,5.0
187,2,16,4,3.0,6.0,1,9.0
98,1,17,1,0.0,4.0,1,4.0
38,1,9,4,6.0,1.0,0,7.0
161,1,15,5,0.0,4.0,0,4.0
119,1,5,3,4.0,4.0,0,8.0
127,2,10,3,0.0,2.0,0,2.0
137,2,12,5,3.0,0.0,0,3.0
47,1,6,3,6.0,4.0,0,10.0
38,2,6,1,0.0,1.0,0,1.0
115,1,1,1,0.0,0.0,0,0.0
112,2,9,4,0.0,3.0,0,3.0
93,1,9,5,1.0,0.0,0,1.0
148,2,12,2,3.0,1.0,0,4.0
7,2,10,5,6.0,6.0,0,12.0
146,1,7,6,1.0,3.0,0,4.0
117,2,1,3,1.0,1.0,0,2.0
3,2,16,2,0.0,1.0,1,1.0
186,1,20,4,0.0,6.0,1,6.0
83,2,18,5,2.0,0.0,0,2.0
198,2,9,3,0.0,1.0,0,1.0
31,2,19,2,6.0,4.0,0,10.0
154,2,7,6,6.0,6.0,1,12.0
147,2,20,3,6.0,4.0,0,10.0
82,1,20,5,3.0,0.0,1,3.0
67,2,8,3,1.0,0.0,0,1.0
80,1,9,5,0.0,2.0,0,2.0
155,2,19,3,0.0,4.0,1,4.0
171,2,13,1,4.0,0.0,1,4.0
110,1,12,1,6.0,6.0,1,12.0
122,2,5,2,3.0,2.0,0,5.0
107,1,3,1,0.0,0.0,1,0.0
165,2,20,6,6.0,3.0,0,9.0
129,1,7,2,3.0,2.0,1,5.0
32,1,4,2,0.0,0.0,1,0.0
73,1,2,2,4.0,1.0,0,5.0
116,1,15,3,0.0,4.0,0,4.0
22,2,19,1,0.0,6.0,0,6.0
106,2,2,3,3.0,0.0,1,3.0
115,2,6,5,2.0,4.0,0,6.0
171,1,10,3,3.0,4.0,0,7.0
72,1,20,1,3.0,0.0,1,3.0
27,1,6,6,4.0,6.0,0,10.0
171,1,2,4,3.0,1.0,0,4.0
151,2,16,2,6.0,3.0,0,9.0
19,2,3,3,2.0,3.0,0,5.0
68,2,1,4,0.0,0.0,0,0.0
178,1,3,1,4.0,6.0,0,10.0
168,1,5,1,0.0,1.0,0,1.0
110,1,18,4,6.0,2.0,0,8.0
31,2,10,6,2.0,0.0,0,2.0
153,2,17,3,4.0,0.0,0,4.0
146,1,20,4,6.0,4.0,0,10.0
84,1,10,4,2.0,4.0,1,6.0
158,1,13,3,2.0,6.0,1,8.0
158,2,7,1,0.0,6.0,0,6.0
144,2,16,5,0.0,6.0,1,6.0
191,1,8,1,2.0,1.0,0,3.0
24,2,16,4,2.0,1.0,0,3.0
186,1,18,1,0.0,1.0,0,1.0
5,1,20,1,0.0,1.0,0,1.0
99,1,3,6,2.0,6.0,1,8.0
111,2,16,2,0.0,0.0,0,0.0
67,1,7,2,3.0,3.0,0,6.0
54,2,10,3,4.0,2.0,1,6.0
58,1,15,5,0.0,1.0,0,1.0
69,2,6,2,4.0,0.0,0,4.0
91,2,2,6,0.0,4.0,1,4.0
16,1,14,6,6.0,1.0,0,7.0
119,1,10,5,1.0,6.0,0,7.0
97,2,19,3,0.0,6.0,1,6.0
52,2,12,3,0.0,6.0,1,6.0
75,2,9,6,2.0,6.0,0,8.0
