match_id,season,team1,team2,venue,winner,match_date,data_quality_flag,match_status,match_year,season_date_mismatch
1,2024,LSG,DC,KOLKATA,LSG,2020-03-21,Valid,Completed,2020,True
2,2024,LSG,PBKS,MUMBAI,LSG,2020-03-22,Valid,Completed,2020,True
3,2022,GT,PBKS,HYDERABAD,PBKS,2020-03-23,Valid,Completed,2020,True
4,2020,PBKS,CSK,KOLKATA,PBKS,2020-03-24,Valid,Completed,2020,False
5,2022,DC,KKR,DELHI,DC,2020-03-25,Valid,Completed,2020,True
6,2020,GT,PBKS,AHMEDABAD,GT,2020-03-26,Valid,Completed,2020,False
7,2023,CSK,RCB,MUMBAI,CSK,2020-03-27,Valid,Completed,2020,True
8,2024,LSG,PBKS,KOLKATA,PBKS,2020-03-28,Valid,Completed,2020,True
9,2020,KKR,CSK,CHENNAI,CSK,2020-03-29,Valid,Completed,2020,False
10,2020,DC,PBKS,BANGALORE,DC,2020-03-30,Valid,Completed,2020,False
11,2023,CSK,PBKS,DELHI,PBKS,2020-03-31,Valid,Completed,2020,True
12,2020,SRH,RR,KOLKATA,SRH,2020-04-01,Valid,Completed,2020,False
13,2023,MI,KKR,KOLKATA,MI,2020-04-02,Valid,Completed,2020,True
14,2023,MI,LSG,AHMEDABAD,LSG,2020-04-03,Valid,Completed,2020,True
15,2021,RCB,KKR,BANGALORE,RCB,2020-04-04,Valid,Completed,2020,True
16,2023,CSK,LSG,CHENNAI,LSG,2020-04-05,Valid,Completed,2020,True
17,2024,RR,SRH,DELHI,,2020-04-06,Valid,No Result,2020,True
18,2023,CSK,RR,KOLKATA,CSK,2020-04-07,Valid,Completed,2020,True
19,2022,DC,PBKS,AHMEDABAD,DC,2020-04-08,Valid,Completed,2020,True
20,2023,GT,DC,HYDERABAD,GT,2020-04-09,Valid,Completed,2020,True
21,2024,PBKS,MI,BANGALORE,PBKS,2020-04-10,Valid,Completed,2020,True
22,2024,RR,LSG,CHENNAI,,2020-04-11,Valid,No Result,2020,True
23,2020,DC,RCB,DELHI,DC,2020-04-12,Valid,Completed,2020,False
24,2020,RCB,RR,CHENNAI,RR,2020-04-13,Valid,Completed,2020,False
25,2022,MI,SRH,CHENNAI,MI,2020-04-14,Valid,Completed,2020,True
26,2024,LSG,GT,DELHI,GT,2020-04-15,Valid,Completed,2020,True
27,2021,PBKS,SRH,DELHI,,2020-04-16,Valid,No Result,2020,True
28,2024,LSG,DC,MUMBAI,DC,2020-04-17,Valid,Completed,2020,True
29,2023,GT,KKR,CHENNAI,KKR,2020-04-18,Valid,Completed,2020,True
30,2022,LSG,DC,KOLKATA,,2020-04-19,Valid,No Result,2020,True
31,2022,CSK,SRH,KOLKATA,CSK,2020-04-20,Valid,Completed,2020,True
32,2021,GT,RR,KOLKATA,GT,2020-04-21,Valid,Completed,2020,True
33,2022,CSK,RCB,MUMBAI,RCB,2020-04-22,Valid,Completed,2020,True
34,2022,LSG,LSG,AHMEDABAD,LSG,2020-04-23,Valid,Completed,2020,True
35,2023,MI,CSK,MUMBAI,,2020-04-24,Conflicting Duplicate,Data Issue,2020,True
36,2021,MI,SRH,KOLKATA,SRH,2020-04-25,Valid,Completed,2020,True
37,2020,RR,GT,CHENNAI,RR,2020-04-26,Valid,Completed,2020,False
38,2021,KKR,DC,BANGALORE,DC,2020-04-27,Valid,Completed,2020,True
39,2021,CSK,RCB,DELHI,CSK,2020-04-28,Valid,Completed,2020,True
40,2020,LSG,GT,BANGALORE,GT,2020-04-29,Valid,Completed,2020,False
41,2023,SRH,SRH,MUMBAI,SRH,2020-04-30,Valid,Completed,2020,True
42,2023,CSK,GT,DELHI,GT,2020-05-01,Valid,Completed,2020,True
43,2024,MI,RR,MUMBAI,,2020-05-02,Conflicting Duplicate,Data Issue,2020,True
44,2024,RCB,CSK,HYDERABAD,CSK,2020-05-03,Valid,Completed,2020,True
45,2021,GT,KKR,CHENNAI,,2020-05-04,Valid,No Result,2020,True
46,2020,MI,RR,HYDERABAD,,2020-05-05,Valid,No Result,2020,False
47,2021,CSK,MI,BANGALORE,,2020-05-06,Valid,No Result,2020,True
48,2020,MI,GT,DELHI,MI,2020-05-07,Valid,Completed,2020,False
49,2020,SRH,RCB,DELHI,SRH,2020-05-08,Valid,Completed,2020,False
50,2024,PBKS,RR,KOLKATA,PBKS,2020-05-09,Valid,Completed,2020,True
51,2022,GT,SRH,BANGALORE,,2020-05-10,Conflicting Duplicate,Data Issue,2020,True
52,2022,SRH,PBKS,AHMEDABAD,SRH,2020-05-11,Valid,Completed,2020,True
53,2020,DC,RR,HYDERABAD,DC,2020-05-12,Valid,Completed,2020,False
54,2022,DC,GT,AHMEDABAD,,2020-05-13,Valid,No Result,2020,True
55,2023,PBKS,CSK,HYDERABAD,CSK,2020-05-14,Valid,Completed,2020,True
56,2020,LSG,PBKS,HYDERABAD,PBKS,2020-05-15,Valid,Completed,2020,False
57,2022,SRH,DC,CHENNAI,SRH,2020-05-16,Valid,Completed,2020,True
58,2023,RR,CSK,KOLKATA,CSK,2020-05-17,Valid,Completed,2020,True
59,2024,CSK,RR,CHENNAI,CSK,2020-05-18,Valid,Completed,2020,True
60,2022,RR,GT,AHMEDABAD,,2020-05-19,Valid,No Result,2020,True
61,2023,PBKS,DC,AHMEDABAD,PBKS,2020-05-20,Valid,Completed,2020,True
62,2023,MI,MI,MUMBAI,MI,2020-05-21,Valid,Completed,2020,True
63,2022,RCB,MI,BANGALORE,RCB,2020-05-22,Valid,Completed,2020,True
64,2020,GT,GT,DELHI,GT,2020-05-23,Valid,Completed,2020,False
65,2022,KKR,CSK,BANGALORE,CSK,2020-05-24,Valid,Completed,2020,True
66,2023,MI,SRH,AHMEDABAD,SRH,2020-05-25,Valid,Completed,2020,True
67,2020,LSG,KKR,KOLKATA,KKR,2020-05-26,Valid,Completed,2020,False
68,2024,RCB,GT,BANGALORE,GT,2020-05-27,Valid,Completed,2020,True
69,2021,CSK,CSK,HYDERABAD,,2020-05-28,Valid,No Result,2020,True
70,2022,DC,KKR,CHENNAI,KKR,2020-05-29,Valid,Completed,2020,True
71,2024,DC,LSG,CHENNAI,LSG,2020-05-30,Valid,Completed,2020,True
72,2024,GT,RCB,DELHI,GT,2020-05-31,Valid,Completed,2020,True
73,2023,KKR,SRH,BANGALORE,SRH,2020-06-01,Valid,Completed,2020,True
74,2024,KKR,RCB,DELHI,RCB,2020-06-02,Valid,Completed,2020,True
75,2021,PBKS,SRH,MUMBAI,,2020-06-03,Valid,No Result,2020,True
76,2022,SRH,RCB,MUMBAI,SRH,2020-06-04,Valid,Completed,2020,True
77,2023,RCB,RCB,BANGALORE,RCB,2020-06-05,Valid,Completed,2020,True
78,2023,RR,GT,BANGALORE,,2020-06-06,Valid,No Result,2020,True
79,2020,RCB,PBKS,MUMBAI,,2020-06-07,Valid,No Result,2020,False
80,2020,RR,CSK,DELHI,RR,2020-06-08,Valid,Completed,2020,False
81,2024,LSG,CSK,CHENNAI,CSK,2020-06-09,Valid,Completed,2020,True
82,2022,DC,RCB,MUMBAI,RCB,2020-06-10,Valid,Completed,2020,True
83,2024,RR,MI,BANGALORE,,2020-06-11,Conflicting Duplicate,Data Issue,2020,True
84,2020,RCB,KKR,HYDERABAD,RCB,2020-06-12,Valid,Completed,2020,False
85,2023,SRH,DC,AHMEDABAD,DC,2020-06-13,Valid,Completed,2020,True
86,2024,DC,PBKS,DELHI,PBKS,2020-06-14,Valid,Completed,2020,True
87,2023,GT,SRH,HYDERABAD,GT,2020-06-15,Valid,Completed,2020,True
88,2022,PBKS,LSG,HYDERABAD,,2020-06-16,Valid,No Result,2020,True
89,2022,GT,DC,BANGALORE,GT,2020-06-17,Valid,Completed,2020,True
90,2020,PBKS,DC,MUMBAI,PBKS,2020-06-18,Valid,Completed,2020,False
91,2024,KKR,CSK,HYDERABAD,KKR,2020-06-19,Valid,Completed,2020,True
92,2020,GT,SRH,KOLKATA,GT,2020-06-20,Valid,Completed,2020,False
93,2024,PBKS,SRH,DELHI,PBKS,2020-06-21,Valid,Completed,2020,True
94,2021,RR,MI,CHENNAI,RR,2020-06-22,Valid,Completed,2020,True
95,2022,SRH,DC,KOLKATA,SRH,2020-06-23,Valid,Completed,2020,True
96,2021,RR,DC,MUMBAI,DC,2020-06-24,Valid,Completed,2020,True
97,2022,KKR,MI,HYDERABAD,MI,2020-06-25,Valid,Completed,2020,True
98,2020,CSK,RR,MUMBAI,RR,2020-06-26,Valid,Completed,2020,False
99,2021,DC,MI,BANGALORE,DC,2020-06-27,Valid,Completed,2020,True
100,2020,LSG,PBKS,BANGALORE,PBKS,2020-06-28,Valid,Completed,2020,False
101,2024,LSG,MI,MUMBAI,MI,2020-06-29,Valid,Completed,2020,True
102,2020,PBKS,RR,BANGALORE,RR,2020-06-30,Valid,Completed,2020,False
103,2023,MI,RR,MUMBAI,RR,2020-07-01,Valid,Completed,2020,True
104,2023,KKR,DC,DELHI,DC,2020-07-02,Valid,Completed,2020,True
105,2021,LSG,PBKS,HYDERABAD,LSG,2020-07-03,Valid,Completed,2020,True
106,2020,GT,DC,KOLKATA,GT,2020-07-04,Valid,Completed,2020,False
107,2022,RCB,SRH,CHENNAI,SRH,2020-07-05,Valid,Completed,2020,True
108,2021,RR,LSG,AHMEDABAD,,2020-07-06,Valid,No Result,2020,True
109,2022,KKR,SRH,MUMBAI,KKR,2020-07-07,Valid,Completed,2020,True
110,2020,GT,SRH,DELHI,SRH,2020-07-08,Valid,Completed,2020,False
111,2024,PBKS,CSK,HYDERABAD,,2020-07-09,Valid,No Result,2020,True
112,2023,MI,CSK,HYDERABAD,CSK,2020-07-10,Valid,Completed,2020,True
113,2023,DC,PBKS,HYDERABAD,PBKS,2020-07-11,Valid,Completed,2020,True
114,2023,GT,PBKS,CHENNAI,PBKS,2020-07-12,Valid,Completed,2020,True
115,2023,LSG,RCB,AHMEDABAD,LSG,2020-07-13,Valid,Completed,2020,True
